"","subjectkey","freq_Lotto","freq_OthLotA","freq_OthLotB","freq_Scratch","freq_VSbet","freq_VHorse","freq_Casino","freq_Slots","freq_Table","freq_PVei","freq_OVei","freq_FHorse","freq_Private","freq_Cruise","freq_PPaf","freq_OPaf","freq_PFor","freq_OFor","freq_Other","diverity","diverity_No_lottery"
"1762","1921",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1763","1922",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"1764","1923",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"1765","1924",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
"1766","1925",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2
"1767","1927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1768","1928",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
"1769","1929",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1770","1930",1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,8,7
"1771","1931",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1772","1932",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1773","1933",1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,6,5
"1774","1934",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1775","1935",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3
"1776","1936",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1777","1937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1778","1938",1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,4
"1779","1940",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"1780","1941",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1781","1942",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1782","1943",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1783","1944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1784","1945",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1785","1946",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1786","1948",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"1787","1949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1788","1950",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1789","1951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1790","1952",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1791","1953",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1792","1954",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1793","1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1794","1956",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1795","1957",1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5
"1796","1958",1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,7,6
"1797","1959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1798","1960",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1799","1961",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1800","1962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1801","1963",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2
"1802","1964",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"1803","1965",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1804","1966",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3
"1805","1967",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1806","1968",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1807","1969",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1808","1970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1809","1971",1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,3
"1810","1972",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"1811","1973",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1812","1974",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"1813","1975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1814","1976",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1815","1977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1816","1978",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1817","1979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1818","1980",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1819","1981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1820","1982",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1821","1983",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1822","1984",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1823","1985",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3
"1824","1986",1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3
"1825","1987",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"1826","1988",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"1827","1989",1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,10,9
"1828","1990",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
"1829","1991",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
"1830","1992",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1831","1993",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1832","1994",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"1833","1995",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1834","1996",1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,3
"1835","1997",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1836","1998",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1837","1999",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1838","2000",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1839","2001",1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5,4
"1840","2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1841","2003",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1842","2004",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1843","2006",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2
"1844","2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1845","2008",1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,4
"1846","2009",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1847","2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1848","2011",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1849","2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1850","2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1851","2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1852","2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1853","2016",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1854","2017",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1855","2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1856","2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1857","2020",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1858","2021",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"1859","2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1860","2023",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"1861","2024",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1862","2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1863","2026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1864","2027",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1865","2028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1866","2029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1867","2030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1868","2031",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"1869","2032",1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,7,6
"1870","2033",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2
"1871","2034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1872","2035",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1873","2036",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1874","2037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1875","2038",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1876","2039",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1877","2040",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,6
"1878","2042",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"1879","2043",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1880","2044",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3
"1881","2045",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1882","2046",1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,6,5
"1883","2047",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1884","2048",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2
"1885","2049",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3
"1886","2050",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
"1887","2051",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2
"1888","2052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1889","2053",1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,6,5
"1890","2056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1891","2057",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1892","2058",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1893","2059",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3
"1894","2060",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
"1895","2061",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"1896","2062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1897","2063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1898","2064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1899","2065",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1900","2066",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1901","2067",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1902","2068",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1903","2069",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3
"1904","2070",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
"1905","2071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1906","2072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1907","2073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1908","2074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1909","2075",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"1910","2076",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1911","2078",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1912","2079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1913","2080",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1914","2081",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1915","2082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1916","2083",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"1917","2084",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1918","2085",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2
"1919","2087",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1920","2088",1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,3
"1921","2089",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
"1922","2090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1923","2091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1924","2092",1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,10,9
"1925","2093",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1926","2094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1927","2095",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2
"1928","2096",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
