"","subjectkey","annual_expenses"
"1547",2081,15
"1548",2083,85
"1549",2084,100
"1550",2085,32
"1551",2086,5337.30568095586
"1552",2087,20
"1553",2088,104
"1554",2089,10
"1555",2092,2000
"1556",2093,20
"1557",2095,1040
"1558",2096,40
"1559",2097,1560
"1560",2099,5
"1561",2100,100
"1562",2101,104
"1563",2102,40
"1564",2104,50
"1565",2105,520
"1566",2106,416
"1567",2107,400
"1568",2108,5
"1569",2110,70
"1570",2112,200
"1571",2116,150
"1572",2117,1440
"1573",2119,3
"1574",2120,20
"1575",2121,30
"1576",2122,40
"1577",2123,240
"1578",2124,100
"1579",2126,500
"1580",2127,52
"1581",2130,600
"1582",2131,15
"1583",2132,10
"1584",2134,120
"1585",2135,60
"1586",2139,100
"1587",2141,15
"1588",2142,240
"1589",2143,10
"1590",2144,20
"1591",2145,20
"1592",2146,20
"1593",2148,20
"1594",2149,50
"1595",2150,5
"1596",2151,20
"1597",2152,240
"1598",2153,20
"1599",2154,300
"1600",2156,10
"1601",2157,15
"1602",2158,5000
"1603",2159,50
"1604",2160,1
"1605",2162,50
"1606",2163,50
"1607",2164,60
"1608",2165,10
"1609",2166,520
"1610",2167,30
"1611",2168,50
"1612",2170,100
"1613",2171,20
"1614",2173,6
"1615",2174,288
"1616",2175,100
"1617",2176,416
"1618",2177,90
"1619",2178,1560
"1620",2179,50
"1621",2182,104
"1622",2183,20
"1623",2184,2600
"1624",2185,2
"1625",2186,50
"1626",2188,250
"1627",2189,20
"1628",2190,100
"1629",2193,30
"1630",2197,288
"1631",2198,3600
"1632",2199,20
"1633",2200,5
"1634",2201,10
"1635",2205,1300
"1636",2206,20
"1637",2207,20
"1638",2208,1144
"1639",2209,20
"1640",2212,20
"1641",2213,5
"1642",2214,200
"1643",2215,170
"1644",2216,500
"1645",2217,30
"1646",2218,150
"1647",2219,156
"1648",2220,144
"1649",2221,36
"1650",2222,50
"1651",2224,500
"1652",2226,180
"1653",2227,156
"1654",2228,480
"1655",2229,1
"1656",2230,30
"1657",2231,30
"1658",2232,480
"1659",2233,780
"1660",2235,480
"1661",2238,100
"1662",2239,60
"1663",2240,100
"1664",2243,1040
"1665",2244,20
"1666",2245,200
"1667",2246,30
"1668",2247,416
"1669",2248,312
"1670",2249,10
"1671",2251,100
"1672",2252,52
"1673",2253,2340
"1674",2254,260
"1675",2255,50
"1676",2256,520
"1677",2258,3000
"1678",2259,120
"1679",2260,36
"1680",2261,240
"1681",2262,120
"1682",2263,140
"1683",2264,60
"1684",2265,10
"1685",2266,540
"1686",2267,5337.30568095586
"1687",2270,5
"1688",2272,260
"1689",2273,300
"1690",2274,120
"1691",2275,10
"1692",2276,150
"1693",2277,20
"1694",2278,240
"1695",2279,30
"1696",2281,450
"1697",2282,20
"1698",2283,30
"1699",2284,60
"1700",2286,104
"1701",2289,180
"1702",2291,100
"1703",2292,48
"1704",2293,480
"1705",2294,1040
"1706",2296,600
"1707",2298,800
"1708",2299,156
"1709",2300,240
"1710",2301,20
"1711",2302,700
"1712",2303,120
"1713",2304,30
"1714",2306,480
"1715",2307,50
"1716",2308,300
"1717",2309,300
"1718",2310,20
"1719",2311,100
"1720",2312,50
